CMD,DN,P,SECONDS
         seq ,       100000 ,    2 ,       11.099
  task-graph ,       100000 ,    2 ,        8.956
      manual ,       100000 ,    2 ,        6.473
  iter-graph ,       100000 ,    2 ,         6.91
      schema ,       100000 ,    2 ,        6.634
         seq ,       100000 ,    4 ,       11.105
  task-graph ,       100000 ,    4 ,        7.778
      manual ,       100000 ,    4 ,        4.024
  iter-graph ,       100000 ,    4 ,        4.351
      schema ,       100000 ,    4 ,        4.335
         seq ,       100000 ,    8 ,       11.537
  task-graph ,       100000 ,    8 ,       10.181
      manual ,       100000 ,    8 ,        3.581
  iter-graph ,       100000 ,    8 ,        4.308
      schema ,       100000 ,    8 ,        3.737
         seq ,       100000 ,   16 ,       11.119
  task-graph ,       100000 ,   16 ,        17.89
      manual ,       100000 ,   16 ,         3.63
  iter-graph ,       100000 ,   16 ,        4.497
      schema ,       100000 ,   16 ,        3.811
         seq ,      1000000 ,    2 ,      114.702
  task-graph ,      1000000 ,    2 ,       65.545
      manual ,      1000000 ,    2 ,       62.266
  iter-graph ,      1000000 ,    2 ,       64.202
      schema ,      1000000 ,    2 ,       62.759
         seq ,      1000000 ,    4 ,      113.993
  task-graph ,      1000000 ,    4 ,       37.739
      manual ,      1000000 ,    4 ,       33.022
  iter-graph ,      1000000 ,    4 ,        33.66
      schema ,      1000000 ,    4 ,       33.509
         seq ,      1000000 ,    8 ,      114.787
  task-graph ,      1000000 ,    8 ,       31.963
      manual ,      1000000 ,    8 ,       22.777
  iter-graph ,      1000000 ,    8 ,         25.3
      schema ,      1000000 ,    8 ,       24.397
         seq ,      1000000 ,   16 ,      114.694
  task-graph ,      1000000 ,   16 ,       32.355
      manual ,      1000000 ,   16 ,        33.01
  iter-graph ,      1000000 ,   16 ,       21.597
      schema ,      1000000 ,   16 ,       21.095
         seq ,     10000000 ,    2 ,     1143.707
  task-graph ,     10000000 ,    2 ,      619.957
      manual ,     10000000 ,    2 ,      601.537
  iter-graph ,     10000000 ,    2 ,      618.655
      schema ,     10000000 ,    2 ,      605.151
         seq ,     10000000 ,    4 ,     1128.395
  task-graph ,     10000000 ,    4 ,      323.172
      manual ,     10000000 ,    4 ,      308.796
  iter-graph ,     10000000 ,    4 ,      317.582
      schema ,     10000000 ,    4 ,      313.981
         seq ,     10000000 ,    8 ,     1149.951
  task-graph ,     10000000 ,    8 ,      221.737
      manual ,     10000000 ,    8 ,      193.588
  iter-graph ,     10000000 ,    8 ,      192.565
      schema ,     10000000 ,    8 ,      192.297
         seq ,     10000000 ,   16 ,     1146.311
  task-graph ,     10000000 ,   16 ,      185.556
      manual ,     10000000 ,   16 ,      168.418
  iter-graph ,     10000000 ,   16 ,      170.727
      schema ,     10000000 ,   16 ,      177.927
         seq ,       100000 ,    2 ,       11.734
  task-graph ,       100000 ,    2 ,        9.007
      manual ,       100000 ,    2 ,        6.877
  iter-graph ,       100000 ,    2 ,        7.772
      schema ,       100000 ,    2 ,        6.644
         seq ,       100000 ,    4 ,       11.708
  task-graph ,       100000 ,    4 ,        7.927
      manual ,       100000 ,    4 ,        3.987
  iter-graph ,       100000 ,    4 ,        4.281
      schema ,       100000 ,    4 ,        4.218
         seq ,       100000 ,    8 ,       11.428
  task-graph ,       100000 ,    8 ,       10.258
      manual ,       100000 ,    8 ,        3.585
  iter-graph ,       100000 ,    8 ,        4.283
      schema ,       100000 ,    8 ,        3.962
         seq ,       100000 ,   16 ,       12.066
  task-graph ,       100000 ,   16 ,        17.87
      manual ,       100000 ,   16 ,        3.368
  iter-graph ,       100000 ,   16 ,        4.318
      schema ,       100000 ,   16 ,        3.637
         seq ,      1000000 ,    2 ,      114.707
  task-graph ,      1000000 ,    2 ,       65.288
      manual ,      1000000 ,    2 ,       63.087
  iter-graph ,      1000000 ,    2 ,       62.857
      schema ,      1000000 ,    2 ,       63.819
         seq ,      1000000 ,    4 ,      112.988
  task-graph ,      1000000 ,    4 ,       37.239
      manual ,      1000000 ,    4 ,       32.746
  iter-graph ,      1000000 ,    4 ,         37.2
      schema ,      1000000 ,    4 ,       33.651
         seq ,      1000000 ,    8 ,      111.025
  task-graph ,      1000000 ,    8 ,       31.593
      manual ,      1000000 ,    8 ,       23.391
  iter-graph ,      1000000 ,    8 ,       24.124
      schema ,      1000000 ,    8 ,        25.09
         seq ,      1000000 ,   16 , 114.87700000000001
  task-graph ,      1000000 ,   16 ,       32.261
      manual ,      1000000 ,   16 ,       21.421
  iter-graph ,      1000000 ,   16 ,         21.6
      schema ,      1000000 ,   16 ,       20.737
         seq ,     10000000 ,    2 ,     1148.115
  task-graph ,     10000000 ,    2 ,      626.266
      manual ,     10000000 ,    2 ,        597.6
  iter-graph ,     10000000 ,    2 ,      624.928
      schema ,     10000000 ,    2 ,      604.321
         seq ,     10000000 ,    4 ,      1129.46
  task-graph ,     10000000 ,    4 ,       346.58
      manual ,     10000000 ,    4 ,      308.515
  iter-graph ,     10000000 ,    4 ,      315.275
      schema ,     10000000 ,    4 ,      314.792
         seq ,     10000000 ,    8 ,     1184.167
  task-graph ,     10000000 ,    8 ,      223.899
      manual ,     10000000 ,    8 ,      190.075
  iter-graph ,     10000000 ,    8 ,       198.35
      schema ,     10000000 ,    8 ,      192.589
         seq ,     10000000 ,   16 ,     1124.993
  task-graph ,     10000000 ,   16 ,      188.449
      manual ,     10000000 ,   16 ,       295.96
  iter-graph ,     10000000 ,   16 ,      178.463
      schema ,     10000000 ,   16 ,      180.936
         seq ,       100000 ,    2 ,       11.458
  task-graph ,       100000 ,    2 ,        9.089
      manual ,       100000 ,    2 ,        6.587
  iter-graph ,       100000 ,    2 ,        6.988
      schema ,       100000 ,    2 ,        6.658
         seq ,       100000 ,    4 ,       11.103
  task-graph ,       100000 ,    4 ,        7.848
      manual ,       100000 ,    4 ,         4.09
  iter-graph ,       100000 ,    4 ,        4.349
      schema ,       100000 ,    4 ,        4.199
         seq ,       100000 ,    8 ,       11.116
  task-graph ,       100000 ,    8 ,       10.325
      manual ,       100000 ,    8 ,        3.645
  iter-graph ,       100000 ,    8 ,         3.95
      schema ,       100000 ,    8 ,         3.85
         seq ,       100000 ,   16 ,       11.143
  task-graph ,       100000 ,   16 ,       17.716
      manual ,       100000 ,   16 ,        3.555
  iter-graph ,       100000 ,   16 ,         4.26
      schema ,       100000 ,   16 ,        3.937
