CMD,DN,P,SECONDS
         seq ,100000,2,11.099
         seq ,100000,4,11.103
         seq ,100000,8,11.116
         seq ,100000,16,11.119
         seq ,1000000,2,114.702
         seq ,1000000,4,111.372
         seq ,1000000,8,111.025
         seq ,1000000,16,111.288
         seq ,10000000,2,1115.303
         seq ,10000000,4,1119.877
         seq ,10000000,8,1109.346
         seq ,10000000,16,1124.993
      manual ,100000,2,6.473
      manual ,100000,4,3.931
      manual ,100000,8,3.581
      manual ,100000,16,3.221
      manual ,1000000,2,62.266
      manual ,1000000,4,32.746
      manual ,1000000,8,22.777
      manual ,1000000,16,19.796
      manual ,10000000,2,595.674
      manual ,10000000,4,308.515
      manual ,10000000,8,190.075
      manual ,10000000,16,168.418
      schema ,100000,2,6.634
      schema ,100000,4,4.139
      schema ,100000,8,3.737
      schema ,100000,16,3.637
      schema ,1000000,2,62.759
      schema ,1000000,4,33.17
      schema ,1000000,8,24.397
      schema ,1000000,16,20.737
      schema ,10000000,2,598.858
      schema ,10000000,4,313.652
      schema ,10000000,8,191.685
      schema ,10000000,16,175.04500000000002
  iter-graph ,100000,2,6.901
  iter-graph ,100000,4,4.281
  iter-graph ,100000,8,3.95
  iter-graph ,100000,16,4.26
  iter-graph ,1000000,2,62.857
  iter-graph ,1000000,4,33.613
  iter-graph ,1000000,8,23.992
  iter-graph ,1000000,16,21.597
  iter-graph ,10000000,2,614.674
  iter-graph ,10000000,4,315.275
  iter-graph ,10000000,8,192.565
  iter-graph ,10000000,16,169.006
  task-graph ,100000,2,8.956
  task-graph ,100000,4,7.778
  task-graph ,100000,8,10.181
  task-graph ,100000,16,17.716
  task-graph ,1000000,2,65.288
  task-graph ,1000000,4,37.239
  task-graph ,1000000,8,31.041
  task-graph ,1000000,16,32.08
  task-graph ,10000000,2,615.97
  task-graph ,10000000,4,322.925
  task-graph ,10000000,8,214.376
  task-graph ,10000000,16,185.556
