CMD,DN,P,SECONDS
         seq ,       100000 ,    2 ,        1.177
  task-graph ,       100000 ,    2 ,        1.082
      manual ,       100000 ,    2 ,     0.747302
  iter-graph ,       100000 ,    2 ,      0.83393
      schema ,       100000 ,    2 , 0.7088869999999999
         seq ,       100000 ,    4 ,        1.114
  task-graph ,       100000 ,    4 ,     0.992832
      manual ,       100000 ,    4 , 0.5222060000000001
  iter-graph ,       100000 ,    4 ,     0.607565
      schema ,       100000 ,    4 ,     0.518541
         seq ,       100000 ,    8 ,        1.134
  task-graph ,       100000 ,    8 ,        1.269
      manual ,       100000 ,    8 ,     0.530481
  iter-graph ,       100000 ,    8 ,     0.643821
      schema ,       100000 ,    8 ,     0.489781
         seq ,       100000 ,   16 ,        1.204
  task-graph ,       100000 ,   16 ,        2.082
      manual ,       100000 ,   16 ,     0.660338
  iter-graph ,       100000 ,   16 , 0.9068740000000001
      schema ,       100000 ,   16 , 0.6435420000000001
         seq ,      1000000 ,    2 ,       11.164
  task-graph ,      1000000 ,    2 ,        6.744
      manual ,      1000000 ,    2 ,        6.495
  iter-graph ,      1000000 ,    2 ,        6.679
      schema ,      1000000 ,    2 ,        6.393
         seq ,      1000000 ,    4 ,        11.64
  task-graph ,      1000000 ,    4 ,        4.196
      manual ,      1000000 ,    4 ,        3.801
  iter-graph ,      1000000 ,    4 ,        3.752
      schema ,      1000000 ,    4 ,        3.809
         seq ,      1000000 ,    8 ,       11.219
  task-graph ,      1000000 ,    8 ,        3.725
      manual ,      1000000 ,    8 ,        2.688
  iter-graph ,      1000000 ,    8 ,        3.349
      schema ,      1000000 ,    8 ,        2.831
         seq ,      1000000 ,   16 ,       11.505
  task-graph ,      1000000 ,   16 ,        3.649
      manual ,      1000000 ,   16 ,        2.485
  iter-graph ,      1000000 ,   16 ,        2.834
      schema ,      1000000 ,   16 ,        2.955
         seq ,     10000000 ,    2 , 113.64099999999999
  task-graph ,     10000000 ,    2 ,       61.951
      manual ,     10000000 ,    2 ,       59.528
  iter-graph ,     10000000 ,    2 ,       62.348
      schema ,     10000000 ,    2 ,       60.186
         seq ,     10000000 ,    4 ,      111.172
  task-graph ,     10000000 ,    4 ,       32.385
      manual ,     10000000 ,    4 ,       31.529
  iter-graph ,     10000000 ,    4 ,       32.309
      schema ,     10000000 ,    4 ,       31.865
         seq ,     10000000 ,    8 ,      113.194
  task-graph ,     10000000 ,    8 ,       21.458
      manual ,     10000000 ,    8 ,       21.354
  iter-graph ,     10000000 ,    8 ,       21.517
      schema ,     10000000 ,    8 ,       21.924
         seq ,     10000000 ,   16 ,      114.608
  task-graph ,     10000000 ,   16 ,        18.68
      manual ,     10000000 ,   16 ,        18.37
  iter-graph ,     10000000 ,   16 ,       18.364
      schema ,     10000000 ,   16 ,       18.665
         seq ,       100000 ,    2 ,        1.115
