CMD,DN,P,SECONDS
         seq ,100000,2,1.1375
         seq ,100000,4,1.15375
         seq ,100000,8,1.1564999999999999
         seq ,100000,16,1.16875
         seq ,1000000,2,11.234
         seq ,1000000,4,11.555250000000001
         seq ,1000000,8,11.397
         seq ,1000000,16,11.4435
         seq ,10000000,2,114.42425
         seq ,10000000,4,112.75575
         seq ,10000000,8,113.17475
         seq ,10000000,16,112.12225
      manual ,100000,2,0.752107
      manual ,100000,4,0.530763
      manual ,100000,8,0.5380785
      manual ,100000,16,0.6891885
      manual ,1000000,2,6.45475
      manual ,1000000,4,3.674
      manual ,1000000,8,2.8205
      manual ,1000000,16,2.46575
      manual ,10000000,2,60.64975
      manual ,10000000,4,31.32675
      manual ,10000000,8,22.25775
      manual ,10000000,16,20.701999999999998
      schema ,100000,2,0.7107479999999999
      schema ,100000,4,0.494561
      schema ,100000,8,0.49018174999999997
      schema ,100000,16,0.6416165
      schema ,1000000,2,6.4345
      schema ,1000000,4,3.7207500000000002
      schema ,1000000,8,2.95575
      schema ,1000000,16,2.738
      schema ,10000000,2,60.06525
      schema ,10000000,4,31.61
      schema ,10000000,8,21.69025
      schema ,10000000,16,18.641750000000002
  iter-graph ,100000,2,0.8182197499999999
  iter-graph ,100000,4,0.5901985000000001
  iter-graph ,100000,8,0.66806475
  iter-graph ,100000,16,0.8874475
  iter-graph ,1000000,2,6.63625
  iter-graph ,1000000,4,3.83075
  iter-graph ,1000000,8,3.27725
  iter-graph ,1000000,16,2.8115
  iter-graph ,10000000,2,62.032
  iter-graph ,10000000,4,32.307249999999996
  iter-graph ,10000000,8,22.163
  iter-graph ,10000000,16,18.195999999999998
  task-graph ,100000,2,1.09025
  task-graph ,100000,4,0.9987867500000001
  task-graph ,100000,8,1.29175
  task-graph ,100000,16,2.0965
  task-graph ,1000000,2,6.7585
  task-graph ,1000000,4,4.15375
  task-graph ,1000000,8,3.7505
  task-graph ,1000000,16,3.64075
  task-graph ,10000000,2,62.37125
  task-graph ,10000000,4,32.245000000000005
  task-graph ,10000000,8,22.42625
  task-graph ,10000000,16,18.8615
